,name,story,genre
32,33. The Crow,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge.",Action
33,34. The Union,"Construction worker Mike is thrust into the world of espionage when his high school sweetheart, Roxanne, recruits him for a high-stakes intelligence mission.",Action
34,35. Argylle,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.,Action
35,36. Monkey Man,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.,Action
36,37. Azrael,"In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival.",Action
37,38. Solo Leveling: ReAwakening,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate.",Action
38,39. Hellboy: The Crooked Man,"Hellboy and a rookie B.P.R.D. agent in the 1950s are sent to the Appalachians, where they discover a remote community dominated by witches and led by the sinister local demon, the Crooked Man.",Action
39,40. Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",Action
40,41. Arcadian,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the world.,Action
41,42. Damsel,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt.",Action
42,43. Amaran,"The life of Major Mukund Varadarajan and is set against the backdrop of the Qazipathri Operation in Shopian, Kashmir, which took place back in 2014.",Action
43,44. William Tell,"The narrative unfolds in the 14th Century amidst the days of the Holy Roman Empire where Europe's nations fiercely vie for supremacy and the ambitious Austrians, desiring more land, encroach upon Switzerland, a serene and pastoral nation.",Action
44,45. Absolution,"An aging gangster attempts to reconnect with his children and rectify the mistakes in his past, but the criminal underworld won't loosen their grip willingly.",Action
45,46. Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.",Action
46,47. Dirty Angels,It centers on a group of female soldiers who disguise themselves as medics to rescue a group of teenagers caught between ISIS and the forces of the Taliban.,Action
47,48. Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",Action
48,49. Drive-Away Dolls,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals.",Action
49,50. Land of Bad,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.,Action
50,51. The Killer,An assassin tries to make amends in an effort to restore the sight of a beautiful young singer.,Action
51,52. The Silent Hour,A detective with hearing loss and a deaf witness to a murder must lean on each other to outsmart killers they can't hear coming when cornered in an abandoned apartment block.,Action
52,53. Boneyard,Inspired by the true events of a serial killer that may still be out there today.,Action
53,54. Kung Fu Panda 4,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm.",Action
54,55. Lift,Follows a master thief and his Interpol Agent ex-girlfriend who team up to steal $500 million in gold bullion being transported on an A380 passenger flight.,Action
55,56. The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.,Action
56,57. Uglies,A world in which a compulsory operation wipes out physical differences and makes everyone pretty.,Action
57,58. Sunray: Fallen Soldier,"A war veteran calls on friends from his past to hunt down those responsible for the death of his daughter. Along the way, he learns more about himself than he anticipated as a violent crime syndicate unravels in his wake.",Action
58,59. Armor,A father and son working as security guards for an armored truck company encounter a team of would-be robbers while on a bridge. They become trapped and must come up with a plan to escape and ensure their survival.,Action
59,60. The Prosecutor,"A poor young man is wrongly charged with drug trafficking after being deceived. An ex-prosecutor investigates the case, uncovers a corrupt lawyer team's scheme, and restores justice despite obstruction from evil forces.",Action
60,61. Baby John,Revolves around a DCP who transforms and travels to a different place in order to safeguard his family.,Action
61,62. Kingdom 4: Return of the Great General,"While Qin continues to fight for the unification of the region, its neighboring country invades Qin from the north.",Action
62,63. Beverly Hills Cop: Axel F,Axel Foley returns to Beverly Hills after his daughter's life is threatened for a family reunion that includes old pals John Taggart and Billy Rosewood to uncover a conspiracy.,Action
63,64. Apocalypse Z: The Beginning of the End,"Manel is sheltering from a rabies-like disease which sweeps the planet, until he is forced to leave and meet unlikely but essential traveling companions.",Action
64,65. Brothers,"Two criminal twin brothers, one who is trying to reform, embark on a dangerous heist road trip. Facing legal troubles, gunfights, and family drama, they must reconcile their differences before their mission leads to self-destruction.",Action
65,66. Twilight of the Warriors: Walled In,"Follows troubled youth Chan Lok-kwun as he accidentally enters the Walled City, discovers the order amidst its chaos, and learns important life lessons along the way.",Action
66,67. Kalki 2898 AD,The future of those in the dystopian city of Kasi is altered when the destined arrival of Lord Vishnu's final avatar launches a war against darkness.,Action
67,68. Attack on Titan the Movie: The Last Attack,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley.",Action
68,69. Atlas,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity.",Action
69,70. Viduthalai Part 2,"An unassuming school teacher faces extreme circumstances, forcing him to take up arms and lead a fiery rebellion against oppression, becoming an unlikely leader.",Action
70,71. Alien: Rubicon,A series of alien spheres land on planet Earth destroying everything in their path with ease. It's up to a scientist and the President of the USA to find a way to stop the alien invasion.,Action
71,72. Trigger Warning,"A special forces commando returns to her hometown after her father's sudden death, only to run afoul of a violent gang when she starts asking questions.",Action
72,73. Descendants: The Rise of Red,"After the Queen of Hearts incites a coup in Auradon, her rebellious daughter, Red, and Cinderella's perfectionist daughter, Chloe, must team up and travel in time to undo the traumatic event that drove a young Queen of Hearts to villainy.",Action
73,74. Weekend in Taipei,"A former DEA agent and a former undercover operative revisit their romance during a fateful weekend in Taipei, unaware of the dangerous consequences of their past.",Action
74,75. Canary Black,It follows Avery Graves as she is blackmailed by terrorists into betraying her own country to save her kidnapped husband.,Action
75,76. No Way Up,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,Action
76,77. Aavesham,Three teenagers reach Bangalore for their engineering degree and gets involved in a fight with seniors. They find a local gangster named Ranga to help them take revenge.,Action
77,78. Jackpot!,"In the near future, a 'Grand Lottery' has been newly established in California - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot.",Action
78,79. Night Call,"This night is like all the others for Mady, student by day, locksmith by night. But Claire, the enigmatic young girl he helps out that night, is not who she claims to be. Mady has only one night to prove his innocence in a city in turmoil.",Action
79,80. Aftermath,"A returning war veteran, stricken with PTSD, unwittingly gets trapped with his teenage sister on Boston's Tobin Memorial Bridge as a heavily weaponized group of ex-military revolutionists take everyone hostage.",Action
80,81. Rebel Moon - Part Two: The Scargiver,"Kora and surviving warriors prepare to defend Veldt, their new home, alongside its people against the Realm. The warriors face their pasts, revealing their motivations before the Realm's forces arrive to crush the growing rebellion.",Action
81,82. Thangalaan,"Based on the true events that revolve around the lives of mine workers in the Kolar Gold Fields, Karnataka.",Action
82,83. The Shadow Strays,"Codename 13, a 17-year-old assassin, is suspended due to a sloppy mission in Japan. She meets 11-year-old Monji, who loses his mother, and sets out to rescue him.",Action
83,84. Under Paris,"To save Paris from a bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",Action
84,85. Fighter,A reckless yet brilliant squadron leader and his team of elite fighter pilots face mortal dangers and inner demons as they unite for a deadly mission.,Action
85,86. Classified,A career CIA hitman who's been solely using the classified section of various newspapers to receive his orders suddenly discovers that his division's actually been shut down for years.,Action
86,87. Singham Again,"A new chase is coming - with reference to the epic Ramayana, Singham and his team face an ambiguous villain in order to save his wife.",Action
87,88. Fight or Flight,A mercenary takes on the job of tracking down a target on a plane but must protect her when they're surrounded by people trying to kill both of them.,Action
88,89. Mura,"Four friends from a humble background plan a heist, but past secrets and hidden motives emerge, testing their loyalties. As ambition collides with friendship, they face tough choices in their quest for revenge.",Action
89,90. The Thundermans Return,"It centers on the family as they begin a new era of superhero crimefighting. When one save goes wrong, the Thundermans are sent back to Hiddenville.",Action
90,91. Night of the Zoopocalypse,A wolf and mountain lion team up when a meteor unleashes a virus turning zoo animals into zombies. They join forces with other survivors to rescue the zoo and stop the deranged mutant leader from spreading the virus.,Action
91,92. Watchmen: Chapter I,"In 1985, the murder of a government sponsored superhero draws his outlawed colleagues out of retirement and into a mystery that threatens to upend their personal lives and the world itself.",Action
92,93. Jigra,"When Ankur is wrongfully imprisoned and sentenced to death in a foreign country, his steely sister Satya is driven by a lethal resolve to break him free.",Action
93,94. Gunner,"Lee Gunner tries to save his sons, Luke and Travis, from a dangerous drug gang.",Action
94,95. Sikandar Ka Muqaddar,"After an unsolved diamond heist, a hard-nosed cop's pursuit of his key suspect turns into obsession, until they finally face each other and the truth.",Action
95,96. Trouble,"Conny, a divorced salesman, gets wrongfully imprisoned for murder. There, he meets criminals who mistake him for a pilot like his ex-wife's new boyfriend. Chaos ensues as he navigates life behind bars while separated from his daughter.",Action
96,97. Damaged,Chicago detective Dan Lawson travels to Scotland to link up with Scottish detective Glen Boyd following the resurgence of a serial killer whose crimes match an unsolved case he investigated 5 years previously.,Action
97,98. Chief of Station,"After learning that the death of his wife was not an accident, a former CIA Station Chief is forced back into the espionage underworld, teaming up with an adversary to unravel a conspiracy that challenges everything he thought he knew.",Action
98,99. Devara Part 1,"A mighty sea warrior takes a violent stand against the criminal deeds of his village. Years later, his mild-mannered son walks a path of his own.",Action
99,100. UI,UI transcends language barriers as it addresses a global issue.,Action
100,101. Harbin,Follows Korean independence activists who launched a daring attack in Harbin against the Japanese to gain their country's independence.,Action
101,102. Red Right Hand,"Cash is trying to live an honest and quiet life, but when Big Cat forces him back into her services, he proves capable of anything to protect the town and the only family he has left.",Action
102,103. Take Cover,A burned-out professional sniper finds himself trapped in an all-glass penthouse by a lethal competitor and must find a way to survive and escape with little to no cover between him and the killer.,Action
103,104. Hounds of War,"After a mission goes wrong, only one of a group of mercenaries is left alive to take revenge for his brothers.",Action
104,105. Panda Plan,International action superstar Jackie Chan is involved in a rescue operation of a beloved zoo panda named Hu Hu.,Action
105,106. Old Guy,"Follows a contract killer facing the end of his career who is thrilled when The Company pulls him back into the field training Gen Z newcomer: Wihlborg, a prodigy assassin with an attitude.",Action
106,107. Role Play,"Emma has a wonderful husband and two kids in the suburbs of New Jersey. She also has a secret life as an assassin for hire, a secret that her husband Dave discovers when the couple decide to spice up their marriage with a little role play.",Action
107,108. A Legend,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.,Action
108,109. Kahar: Kapla High Council,"Set in 2005, Kahar, a socially invisible man, volunteers for Pilihanraya to protect his friend. Initially noble, his actions lead him down a path of malevolence and tyranny, risking his family's legacy.",Action
109,110. Murder Company,"In the midst of the D-Day invasion, a group of US soldiers are given orders to smuggle a member of the French resistance behind enemy lines to assassinate a high-value Nazi target.",Action
110,111. Uprising,"In the Joseon Dynasty, two friends who grew up together, one the master and one the servant, reunite post-war as enemies on opposing sides.",Action
111,112. Cash Out,"Professional thief Mason attempts his biggest heist with his brother, robbing a bank. When it goes wrong, they're trapped inside surrounded by law enforcement. Tension rises as Mason negotiates with his ex-lover, the lead negotiator.",Action
112,113. Justice League: Crisis on Infinite Earths - Part One,"The Anti-Monitor, the Monitor's evil counterpart, is released into the DC Multiverse and begins to destroy the different Earths that compose it. The Monitor attempts to recruit heroes from across the Multiverse to fight back.",Action
113,114. Kill Em All 2,Phillip comes face to face with a Russian-French terrorist who comes exact vengeance on him for killing his brother.,Action
114,115. The Roundup: Punishment,"Detective Ma Seok-do joins the Cyber Investigation Team to nab Baek Chang-ki, a former mercenary and the head of an online gambling organization.",Action
115,116. My Spy The Eternal City,"JJ, a veteran CIA agent, reunites with his protégé Sophie, in order to prevent a catastrophic nuclear scheme threatening Vatican City, which disrupts a high school choir trip to Italy.",Action
116,117. Watchmen: Chapter II,"In an alternate 1985 America, a group of retired superheroes investigate a conspiracy after one of their own is murdered.",Action
117,118. Pottel,"An underprivileged villager and a victim of caste-driven politics in his village, forced to run away with his daughter Saraswati, but returns after undergoing a spiritual reincarnation, which in turn changes how the village receives him.",Action
118,119. Bachhala Malli,"Spanning various periods in a man's life, this dark, real world drama uses jumps in time to explore the sometimes drastic and shocking consequences of familial and romantic strife",Action
119,120. Megamind vs. The Doom Syndicate,"Megamind's former villain team, The Doom Syndicate, has returned. Newly crowned hero Megamind's must now keep up evil appearances until he can assemble his friends to stop his former evil teammates from launching Metro City to the Moon.",Action
120,121. Ferry 2,"After losing his drug empire, Ferry Bouman seems to have found peace away from Brabant's underworld. Why would he put it all on the line and come back?",Action
121,"122. Love, Courage and the Battle of Bushy Run","Colonel Henry Bouquet, with a ragtag group of British soldiers, Scottish Highlanders and American volunteers, was tasked with trying to save the hundreds of men, women and children facing certain death - or worse - in Fort Pitt.",Action
122,123. Elyas,A former Special Forces soldier who has become solitary and paranoid since serving Afghanistan and recruited to provide the security for Amina and her daughter Nour.,Action
123,124. Life After Fighting,"A martial arts instructor is confronted with the disappearance of two of his students, leading him into a direct confrontation with a group of international child traffickers.",Action
124,125. Long Gone Heroes,"A special forces soldier who has given up country, religion, and even hope, must return to the field of battle to track down his niece, a reporter, caught in the middle of an illegal private contracting operation that went dead wrong.",Action
125,126. Barroz: Guardian of Treasures,"For 400 years, Barroz, a loyal servant, has guarded da Gama's treasure. Bound by a centuries-old magic, he awaits the arrival of a true descendant worthy of claiming it.",Action
126,127. The Fix,"In a future with toxic air, a model takes a drug causing a transformation. She tries reversing it but learns her mutations could save humanity.",Action
127,128. Bougainvillea,A family entangled in a police investigation surrounding the mysterious disappearance of tourists in Kerala.,Action
128,129. Badland Hunters,"When an earthquake turns Seoul into a lawless badland, a fearless huntsman goes on to rescue a teenager from a mad doctor who held the teenager captive in a camp full of dangerous cultists.",Action
129,130. Anaconda,"A re-interpretation of the iconic '90s creature feature, in which a group of circus athletes - having found themselves stranded in a rain forest - come face-to-face with the elements, a bloodthirsty poacher, and a formidable giant snake.",Action
130,131. Justice League: Crisis on Infinite Earths - Part Three,"Trapped in a pocket universe, surviving Earths face annihilation by the Anti-Monitor. Time shatters, bringing past heroes to aid Justice League against the epitome of evil. Their sacrifice may lead to victory.",Action
131,132. Code 8: Part II,Follows a girl fighting to get justice for her brother who was slain by corrupt police officers. She enlists the help of an ex-con and his former partner to face off against a highly regarded and well-protected police sergeant.,Action
132,133. Officer Black Belt,A talented martial artist who can't walk past a person in need unites with a probation officer to fight and prevent crime as a martial arts officer.,Action
133,134. Dan Da Dan: First Encounter,Momo Ayase is a school girl who meets her classmate Ken Takakura (named after the actor). Their unlikely friendship will face them against ghosts and aliens in a series of dark and funny adventures.,Action
134,135. Levels,"After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth.",Action
135,136. Max,"Inspector Arjun Mahakshay, law and order inspector reports to duty at a new police station after a 2 months suspension and faces an unexpected situation. Can Arjun save the day?",Action
136,137. Raayan,"A series of unfortunate events lead Raayan, a simpleton to be dragged into the dreaded world of crime and manipulation.",Action
137,138. Dark Match,"A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match.",Action
138,139. Agni,"In a city plagued by a strange rise in fires, fireman Vithal and his policeman brother-in-law Samit reluctantly team up to solve the escalating crisis. Battling personal conflicts, they race against time to crack the case and save Mumbai.",Action
139,140. Alangu,Centres around the clashes between Kerala's political group and Tamil Nadu's tribal youths.,Action
140,141. Agent Recon,"Alastair, the captain of a covert Earth security force, calls in super-powered rookie Jim to join a mission led by Colonel Green and his skilled Marines to track down a mysterious energy disturbance at a base in New Mexico.",Action
141,142. Freaky Tales,"Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe.",Action
142,143. The Courier,Follows a hustler and his rise to the top of the corruption that surrounded the real estate bubble after the arrival of the euro in Spain.,Action
143,144. Hanu Man,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.,Action
144,145. Mafia Wars,An ex-con gets released early from prison only to be forced into an undercover unit of six men and on his first day the other five are all killed. Now he must face the men who he was tasked to spy on.,Action
145,146. Darkness of Man,"Interpol operative Russell Hatch witnesses the death of an informant when a seemingly routine raid goes wrong. Years later, he finds himself protecting the informant's son from a group of merciless gangs involved in an all-out turf war.",Action
146,147. Prey,A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.,Action
147,148. Utopia,"Soldier investigates wife's disappearance, infiltrates facility believing she's trafficked. Discovers facility is futuristic fantasy park blurring reality and illusion, complicating his search for truth about her fate.",Action
148,149. One More Shot,"Following the attack on the black site in Poland, Navy SEAL Jake Harris is ordered to escort terrorist suspect Amin Mansur to Washington D.C for interrogation.",Action
149,150. Hitpig,A bounty hunter pig finds himself trekking the globe with a free-spirited elephant he intended to capture.,Action
150,151. The Price of Money: A Largo Winch Adventure,"It follows Largo Winch, who is devastated by the kidnapping of his son. He realizes that if he finds those responsible for his bankruptcy, maybe he'll see his son again.",Action
151,152. The Quiet Ones,"In 2008, a group of men from Denmark and across Europe pull off the biggest heist of all time on Danish soil. Kasper, a boxer with few chances left in life, is offered the opportunity to plan the robbery by its foreign initiators.",Action
152,153. Simarik,"This is the story of Mete, the spoiled son of a wealthy businessman whose father makes him believe he has reincarnated as a servant in a 16th-century Ottoman city.",Action
153,154. Bade Miyan Chote Miyan,Two elite soldiers with troubled pasts are enlisted for a daring mission when a deadly masked villain threatens India's defenses.,Action
154,155. Bagheera,"When society turns into a jungle, just one predator cries out for justice.",Action
155,156. The Clean Up Crew,"When a crime scene cleanup crew discovers a briefcase full of money, they are unwittingly sent into a battle with a ruthless and corrupt crime boss, mobsters, hitmen, and corrupt government agents who are hell-bent on getting it back.",Action
156,157. Air Force One Down,A rookie agent aboard the hijacked Air Force One battle terrorists threatening the energy deal and the president.,Action
157,158. Dominique,"Trained assassin Dominique, escaping her troubled past, crash lands her plane in a Colombian town rife with violence. Sheltered by a family, she faces attacks from police and must choose between self-preservation or defending her hosts.",Action
158,159. City Hunter,"An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death.",Action
159,160. Article 370,"Ahead of a major constitutional decision, special agent Zooni Haksar is tasked with a secret mission to quell violence in a conflict-ridden region.",Action
160,161. Justice League: Crisis on Infinite Earths - Part Two,The Anti-Monitor (the Monitor's evil counterpart) is released into the DC Multiverse and begins to destroy the different Earths that compose it. The Monitor attempts to recruit heroes from across the Multiverse to fight back.,Action
161,162. Joe Baby,"A money collector for a private investigator is hired to track down 10 million dollars stolen in a dodgy real estate deal, opening a complex can of worms.",Action
162,163. Duchess,"Follows a tough, working-class, petty criminal who morphs into an anti-heroine to be reckoned with in a murky underworld, in the treacherous world of diamond smuggling.",Action
163,164. Eye for an Eye 2,"A blind swordsman reluctantly mentors an orphan seeking vengeance for his destroyed family, teaching him martial arts skills. The orphan waits for an opportunity to avenge his kin.",Action
164,165. Hijack 1971,The movie depics the story of people fighting for their lives in an extreme situation when a passenger plane is hijacked in the airspace of Korea in 1971.,Action
165,166. The Wages of Fear,"In order to prevent a deadly explosion, an illicit crack team has 24 hours to drive two truckloads of nitroglycerine across a desert laden with danger.",Action
166,167. Lights Out,"A drifting ex-soldier turns underground fighter with the help of a just released ex-con, pitting them both against a crime boss, corrupt cops and hired killers.",Action
167,"168. I, the Executioner","Rookie detective Park Sun Woo and Seo Do-Cheol, a veteran of the Violent Crimes Investigation Division team, chase after a serial killer who shakes up their world.",Action
168,169. Khadaan,"Shyam comes from the remote areas of Purulia to work as a laborer in the coal mines of the Damodar Valley. The story of Mohan and Shyam will proceed with their rise, reckoning of friendship.",Action
169,170. Golden Kamuy,"In the early 20th century in Hokkaido, Japan, a treasure hunt between various parties takes place for a hidden stash of gold.",Action
170,171. The Greatest of All Time,"Gandhi is a hostage negotiator, field agent, and spy working for the Special Anti-Terrorist Squad (SATS). After years of service, he is called back for a critical mission that sets him on a dangerous collision course with his own past.",Action
171,172. Ultraman: Rising,"Ken Sato is a superstar baseball player who returns to Japan to become the latest hero to carry the mantle of Ultraman. However, he is compelled to raise a newborn kaiju monster, the offspring of his greatest enemy, as his own child.",Action
172,173. Sorgavaasal,A common man imprisoned in a corrupt system questions whether jails truly rehabilitate or push individuals deeper into crime's abyss.,Action
173,174. Vanvaas,Delves into the dynamics between an elderly father grappling with dementia and his family.,Action
174,175. Angels Fallen: Warriors of Peace,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world.",Action
175,176. Arena Wars,"In 2045 convicted criminals are given the opportunity to compete on the world's #1 televised sporting event, Arena Wars. They must survive 7 rooms and 7 of the most vicious killers in the country. If they win, they regain their freedom.",Action
176,177. The Tiger's Apprentice,"Tom Lee, a Chinese-American boy, after the death of his grandmother, has to be apprenticed to the talking tiger Mr. Hu and learn ancient magic to become the new guardian of an ancient phoenix.",Action
177,178. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,"Yoshii, a young man who resells goods online, finds himself at the center of a series of mysterious events that put his life at risk.",Action
178,179. Cloud,Follows the struggles of a North Korean sergeant who is chased by a ruthless major after he defects.,Action
179,180. Escape,A tribal warrior's fierce struggle to save his people a millennium ago is mysteriously linked to a shadow cop's perilous quest in the present.,Action
180,181. Kanguva,"A group of four friends takes on a plane full of deadly venomous spiders, accidentally released by a mad Russian scientist attacking all on-board the 747 flight from the UK to Colombia.",Action
181,182. Spiders on a Plane,"When Freddy Lupin's wayward wish transforms him into a werewolf and deposits a mischievous moon sprite on earth, Freddy must restore the cosmic order before the earth and moon collide.",Action
182,183. 200% Wolf,"Two brothers, one an FBI agent and the other an international money launderer, put aside their differences and band together to save their family by going after a perilous extraction deep in kingpin territory.",Action
183,184. 72 Hours,A seasoned Free Stalker tasked with guiding a band of Mercenaries deep into The Zone to investigate a paranormal radio signal. Based on the S.T.A.L.K.E.R. video-game series by G.S.C. Game World.,Action
184,185. S.T.A.L.K.E.R.: Shadow of the Zone,"Inspired by real events, the story of Bruno Sulak, a true Arsène Lupin of the 20th century.",Action
185,186. Freedom,THE FIGHT TO RECONCILE ONE'S PAST WHILE NAVIGATING A FUTURE SHAPED BY UNEXPECTED LOVE AND LOYALTIES UNFOLDS IN THE ECOLOGICAL DISASTER KNOWN AS THE SALTON SEA.,Action
